exp_id,run_type,name,lr,gamma,batch,eps_start,eps_end,eps_frac,mean_reward,best_reward,final_reward,n_evals,last_timestep
1,original,exp1_baseline_low,1e-05,0.9,16,1.0,0.05,0.1,5.02,19.0,9.4,20,1000000
2,original,exp2_lr_bump,2e-05,0.91,16,1.0,0.05,0.1,5.87,24.0,8.2,20,1000000
3,original,exp3_bigger_batch,3e-05,0.9,32,1.0,0.05,0.1,10.99,29.0,23.6,20,1000000
4,original,exp4_lower_eps_start,1e-05,0.92,16,0.8,0.05,0.1,6.97,21.0,10.6,20,1000000
5,original,exp5_lower_eps_end,5e-05,0.91,32,1.0,0.01,0.1,15.44,30.0,26.6,20,1000000
6,original,exp6_faster_decay,1e-05,0.93,16,1.0,0.05,0.05,5.73,20.0,8.8,20,1000000
7,original,exp7_slower_decay,2e-05,0.92,32,1.0,0.05,0.2,10.77,21.0,17.2,20,1000000
8,original,exp8_mixed_low,3e-05,0.93,16,0.9,0.01,0.1,11.12,22.0,19.8,20,1000000
9,original,exp9_moderate_decay,4e-05,0.9,32,1.0,0.05,0.15,11.68,33.0,16.0,20,1000000
10,original,exp10_best_of_low,5e-05,0.93,32,0.8,0.01,0.1,14.57,22.0,20.6,20,1000000
11,extended,exp1_baseline_low_extended,1e-05,0.9,16,1.0,0.05,0.1,8.4,21.0,16.6,20,1000000
12,extended,exp2_lr_bump_extended,2e-05,0.91,16,1.0,0.05,0.1,9.96,21.0,16.6,20,1000000
13,extended,exp3_bigger_batch_extended,3e-05,0.9,32,1.0,0.05,0.1,12.12,30.0,19.2,20,1000000
14,extended,exp4_lower_eps_start_extended,1e-05,0.92,16,0.8,0.05,0.1,6.53,21.0,10.6,20,1000000
15,extended,exp5_lower_eps_end_extended,5e-05,0.91,32,1.0,0.01,0.1,49.09,239.0,53.8,50,10000000
16,extended,exp6_faster_decay_extended,1e-05,0.93,16,1.0,0.05,0.05,20.16,80.0,24.2,50,10000000
17,extended,exp7_slower_decay_extended,2e-05,0.92,32,1.0,0.05,0.2,40.98,201.0,50.8,50,10000000
18,extended,exp8_mixed_low_extended,3e-05,0.93,16,0.9,0.01,0.1,37.35,186.0,54.8,50,10000000
19,extended,exp9_moderate_decay_extended,4e-05,0.9,32,1.0,0.05,0.15,42.36,192.0,57.0,50,10000000
20,extended,exp10_best_of_low_extended,5e-05,0.93,32,0.8,0.01,0.1,53.24,272.0,61.4,50,10000000
