exp_id,name,lr,gamma,batch,eps_start,eps_end,eps_frac,mean_reward,best_reward,final_reward,n_evals,last_timestep
1,exp1_baseline_low,1e-05,0.9,16,1.0,0.05,0.1,5.02,19.0,9.4,20,1000000
2,exp2_lr_bump,2e-05,0.91,16,1.0,0.05,0.1,5.87,24.0,8.2,20,1000000
3,exp3_bigger_batch,3e-05,0.9,32,1.0,0.05,0.1,10.99,29.0,23.6,20,1000000
4,exp4_lower_eps_start,1e-05,0.92,16,0.8,0.05,0.1,6.97,21.0,10.6,20,1000000
5,exp5_lower_eps_end,5e-05,0.91,32,1.0,0.01,0.1,15.44,30.0,26.6,20,1000000
6,exp6_faster_decay,1e-05,0.93,16,1.0,0.05,0.05,5.73,20.0,8.8,20,1000000
7,exp7_slower_decay,2e-05,0.92,32,1.0,0.05,0.2,10.77,21.0,17.2,20,1000000
8,exp8_mixed_low,3e-05,0.93,16,0.9,0.01,0.1,11.12,22.0,19.8,20,1000000
9,exp9_moderate_decay,4e-05,0.9,32,1.0,0.05,0.15,11.68,33.0,16.0,20,1000000
10,exp10_best_of_low,5e-05,0.93,32,0.8,0.01,0.1,14.57,22.0,20.6,20,1000000
